"","is_GLM","model.coefficients"
"1","(Intercept)","-0.929728197614161"
"2","X_Temperature","-1.01688321222453"
"3","X_Humidity","-0.026189278046182"
"4","X_Altitude","-0.188631731738628"
"5","X_ClimaticConditions","-1.07215814588284"
"6","X_RestTimeFromLastMatch","4.82032226766379"
"7","X_AvgPlayerValue","6.01250537114316"
"8","X_MatchRelevance","7.89856907853074"
"9","X_AvgGoalConcededLastMatches","0.866998861272147"
"10","X_SupportersImpact","2.02397674681806"
"11","X_OpposingSupportersImpact","-0.689202583628827"
"12","I(X_AvgPlayerValue^2)","0.403959633270633"
"13","I(X_OpposingSupportersImpact^2)","0.206119947155835"
"14","I(X_Temperature^2)","0.196405853743348"
"15","X_RestTimeFromLastMatch*X_OpposingSupportersImpact","0.414013174019962"
"16","X_AvgGoalConcededLastMatches*X_Humidity","0.368873147933981"
"17","X_Altitude*X_RestTimeFromLastMatch","-0.240534528072183"
